센터ID,name,유형,시도,시군구,주소,우편번호,위도,경도,전화번호,팩스번호,홈페이지,설립일,의사인원수,간호사인원수,사회복지사인원수,인원_작업치료사,인원_행정인력,인원_운동치료사,인원_임상심리사,인원_음악치료사,인원_송영인력,인원_기타,인원_임상병리사,인원_치위생사,인원_물리치료사,인원_의무기록사,인원_시설관리,인원_방사선사,인원_영양사,인원_응급구조사
C0001,서울특별시강남구치매안심센터,치매안심센터,서울특별시,강남구,"서울 강남구 선릉로108길 27 (삼성동, 강남구치매지원센터) 4층, 5층",06153,37.5103126,127.0463796,02-568-4203,02-568-4280,https://gangnam.nid.or.kr,2018-12-18,2,6,4,,,,,,,,,,,,,,,
C0002,서울특별시강동구치매안심센터,치매안심센터,서울특별시,강동구,"서울 강동구 성내로 45 (성내동, 강동구보건소) 별관 강동구치매안심센터",05397,37.52954199,127.1255855,02-489-1130,02-489-1137,https://gangdong.nid.or.kr,2018-10-01,1,7,6,6,,,,,,,,,,,,,,
C0003,서울특별시강북구치매안심센터,치매안심센터,서울특별시,강북구,"서울 강북구 삼양로 335-1 (수유동, 수유보건지소) 2층 강북구치매안심센터",01098,37.63341432,127.0171553,02-991-9830,02-991-1177,https://gangbuk.nid.or.kr,2018-11-05,0,2,2,1,1,,,,,,,,,,,,,
C0004,서울특별시강서구치매안심센터,치매안심센터,서울특별시,강서구,서울 강서구 화곡로 371 (등촌동) 3층,07590,37.55695579,126.8522421,02-3663-0943,02-3663-0909,https://gangseo.nid.or.kr,2018-07-02,1,10,3,9,,1,1,,,,,,,,,,,
C0005,서울특별시관악구치매안심센터,치매안심센터,서울특별시,관악구,"서울 관악구 관악로 145 (봉천동, 관악구청) 별관 3, 4층",08832,37.47821067,126.9515012,02-879-4910,02-879-7910,https://gwanak.nid.or.kr,2018-07-10,0,8,3,4,,,,,,,,,,,,,,
C0006,서울특별시광진구치매안심센터,치매안심센터,서울특별시,광진구,"서울 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 3층 광진구치매안심센터",04922,37.55933773,127.0870912,02-450-1381,02-3425-2102,https://gwangjin.nid.or.kr,2018-07-01,1,9,4,4,1,,,,,,,,,,,,,
C0007,서울특별시구로구치매안심센터,치매안심센터,서울특별시,구로구,"서울특별시 구로구 디지털로 243, 2층(구로동, 지하이시티 2층) 213호 구로구치매안심센터",08227,37.48199214,126.8923489,02-2612-7041~4,02-2612-7045,https://guro.nid.or.kr,2018-07-01,1,11,5,5,,1,,1,1,1,,,,,,,,
C0008,서울특별시금천구치매안심센터,치매안심센터,서울특별시,금천구,"서울 금천구 시흥대로123길 11 (독산동, 독산1동주민센터) 6층, 7 층",08523,37.47021905,126.8970437,02-3281-9082,02-857-0330,https://geumcheon.nid.or.kr,2018-01-01,1,10,4,4,,,,,,,,,,,,,,
C0009,서울특별시노원구치매안심센터,치매안심센터,서울특별시,노원구,"서울 노원구 수락산로 212-20 (상계동, 마들보건지소) 4~5층",01616,37.6714151,127.0552421,02-911-7778,02-911-7760,https://nowon.nid.or.kr,2018-01-02,1,10,8,,,,,,,,,,,,,,,
C0010,서울특별시도봉구치매안심센터,치매안심센터,서울특별시,도봉구,"서울 도봉구 마들로 650 (방학동, 도봉월드상가) 4층 도봉구치매안심센터",01331,37.66802835,127.0470647,02-955-3591,02-955-3596,https://dobong.nid.or.kr,2018-12-13,,,,,,,,,,,,,,,,,,
C0011,서울특별시동대문구치매안심센터,치매안심센터,서울특별시,동대문구,"서울 동대문구 홍릉로 81 (청량리동) 홍릉문화복지센터 1,2층",02470,37.58751632,127.0427076,02-957-3062,02-957-3065,https://dongdaemun.nid.or.kr,2008-04-01,1,5,5,3,1,,,1,,1,,,,,,,,
C0012,서울특별시동작구치매안심센터,치매안심센터,서울특별시,동작구,"서울 동작구 남부순환로 2025 (사당동, 동작구치매안심센터) 동작구치매안심센터",07023,37.47643044,126.9736224,02-598-6088,02-6280-6099,https://dongjak.nid.or.kr,2018-12-31,2,8,3,,8,,,,,,,,,,,,,
C0013,서울특별시마포구치매안심센터,치매안심센터,서울특별시,마포구,서울 마포구 대흥로24길 50 (염리동) 3층 치매안심센터,04123,37.55463975,126.9487442,02-3272-1578,02-3272-1590,https://mapo.nid.or.kr,2018-04-04,1,12,5,,,,,,,,,,,,,,,
C0014,서울특별시서대문구치매안심센터,치매안심센터,서울특별시,서대문구,"서울 서대문구 연희로 290 (홍은동, 서대문보건소별관우리들) 서대문구치매안심센터",03653,37.58292926,126.9364454,02-379-0183,02-379-0104,https://seodaemun.nid.or.kr,2018-01-01,1,6,5,6,1,,,1,,,,,,,,,,
C0015,서울특별시서초구치매안심센터,치매안심센터,서울특별시,서초구,서울 서초구 방배중앙로 118 (방배동) 3층,06563,37.48985373,126.9877701,02-591-1833,02-6959-6988,https://seocho.nid.or.kr,2018-06-30,1,8,6,7,,,,,,,,,,,,,,
