운영기관ID,name,대표자명,전화번호
O0001,경기도 평택시청 평택보건소 안중보건지소,,031-8024-8677
O0002,제주특별자치도 서귀포시 표선보건지소,강은아,064-760-6365
O0003,제주특별자치도 서귀포시 안덕보건지소,고행선,064-760-0975
O0004,이화여자대학교 의과대학부속 서울병원,허담,02-3663-0943
O0005,제주특별자치도 서귀포시 성산보건지소,강은아,064-760-6477
O0006,제주특별자치도 서귀포시 동부보건소,강은아,064-760-6141
O0007,전북특별자치도 장수군 치매안심센터,노승무,063-350-2670
O0008,강원특별자치도 양구군 치매안심센터,주혜란,033-480-2823
O0009,제주특별자치도 제주시 제주보건소,이민철,064-728-8490
O0010,경상남도 김해시 김해시서부보건소,,055-330-8391
O0011,전라남도 목포시 하당보건지소,김경희,061-270-4271
O0012,광주광역시 서구 치매안심센터,이원구,062-350-4759
O0013,강원특별자치도 삼척시 보건소,이희숙,033-570-4327
O0014,강원특별자치도 영월군 보건소,호희남,033-370-5441
O0015,강원특별자치도 속초시 보건소,이상현,033-639-2071
O0016,전북특별자치도 김제시 보건소,김정아,063-547-4000
O0017,경상남도 김해시 김해시보건소,,055-320-5971
O0018,강원특별자치도 춘천시 보건소,손은진,033-250-4004
O0019,전북특별자치도 완주군보건소,,063-290-3188
O0020,전라북도 순창군 보건의료원,정영곤,063-650-5247
O0021,강원특별자치도 고성군보건소,김선미,033-680-3798
O0022,경기도 용인시 기흥구보건소,권봉정,031-6193-0369
O0023,인제대학교 상계백병원 위탁,이순형,02-911-7778
O0024,경기도 평택시청 평택보건소,,031-8024-4399
O0025,인천광역시 미추홀구보건소,차남희,032-728-6520
O0026,고려대학교의료원 안암병원,이찬녕,02-991-9831
O0027,인천광역시 연수구 보건소,강길원,032-749-8934
O0028,경기도 화성시 동부보건소,심정식,031-5189-4431
O0029,원주시보건소(치매안심과),임영옥,033-737-4541
O0030,경기도 화성시 서부보건소,곽매헌,031-5189-1080
O0031,울진군보건소 치매안심센터,정대교,054-789-5025
O0032,가톨릭대학교 은평성모병원,임은예,02-388-8233
O0033,익산시보건소(보건사업과),이진윤,063-859-7550
O0034,경기도 화성시 동탄보건소,문자,031-5189-4377
O0035,한림대학교 강남성심병원,정산,02-831-0855
O0036,부산광역시 금정구보건소,엄지안,051-519-5678
O0037,부산광역시 사하구보건소,박승아,051-220-0034
O0038,가톨릭대학교서울성모병원,양동원,02-3272-1578
O0039,인천광역시 부평구보건소,김윤자,032-509-1300
O0040,경상북도 문경시 보건소,박애주,054-555-2033
O0041,충청남도 홍성군 보건소,김정식,041-630-9076
O0042,인천광역시 강화군보건소,이은경,032-930-4057
O0043,광주광역시 북구 보건소,김은숙,062-410-8124
O0044,경상남도 하동군 보건소,장성훈,055-880-6850
O0045,광주광역시 남구 보건소,,062-607-4361
O0046,충청북도 단양군 보건소,임은주,043-420-3201
O0047,부산광역시 동래구보건소,정규석,051-555-6767
O0048,부산광역시 수영구보건소,박병건,051-752-4000
O0049,대전광역시 대덕구보건소,이석우,042-608-5426
O0050,인천광역시 옹진군보건소,박혜련,032-899-3670
O0051,부산광역시 사상구보건소,이정민,051-310-3362
O0052,광주광역시 광산구보건소,김옥현,062-960-6930
O0053,충청북도 증평군 보건소,조미정,043-835-4782
O0054,서울특별시 관악구보건소,최정화,02-879-4910
O0055,창원보건소 건강관리과,오재연,055-225-5794
O0056,마산보건소 건강관리과,이지련,055-225-5993
O0057,광주광역시 동구보건소,심옥선,062-608-3490
O0058,구미시선산치매안심센터,이은주,054-480-4350
O0059,달서구보건소 (직영),이완회,053-667-5780
O0060,부산광역시 중구보건소,송교필,051-600-4688
O0061,서대문구 치매안심센터,김어수,02-379-0183
O0062,인천광역시 서구보건소,장준영,032-718-0630
O0063,남구보건소치매안심센터,센터장 윤민우,051-607-3781
O0064,서울특별시 보라매병원,이재협,02-598-6088
O0065,이화의대부속 목동병원,유경하,02-2698-8680
O0066,순천향대학교 서울병원,서교일,02-790-1541
O0067,서울특별시 서울의료원,김희진,02-499-8071
O0068,경상남도 합천군보건소,안명기,055-930-4091
O0069,부산광역시 부산진구청,김영욱,051-605-6107
O0070,경상북도 의성군보건소,이선희,054-830-6660
O0071,충청남도 부여군보건소,,041-830-8727
O0072,고려대학교 구로병원,,02-2612-7041
O0073,경기도 여주시보건소,,031-887-3685
O0074,경기도 포천시보건소,포천시보건소장,031-538-4860
O0075,인하대학교산학협력단,김주형,032-883-0310
O0076,하남시 치매안심센터,박강용,031-790-6254
O0077,부산광역시 강서구청,천동환,051-970-2600
O0078,세종특별자치시보건소,강민구,044-301-2000
O0079,김포시 치매안심센터,구영미,031-5186-4169
O0080,경기도 구리시보건소,김은주,031-550-8313
O0081,안동시 치매안심센터,김경숙,054-840-5789
O0082,청주시 상당보건소,방영란,043-201-3637
O0083,청주시 흥덕보건소,홍정희,043-201-4333
O0084,대구광역시 서구청,,053-663-3811
O0085,전라남도 곡성군청,,061-360-8981
O0086,임실군치매안심센터,김대곤,063-640-3371
O0087,옥천군치매안심센터,박성희,043-730-2158
O0088,양산시치매안심센터,김정미,055-392-5175
O0089,광명시치매안심센터,이현숙,02-2680-5830
O0090,청주시 서원보건소,권영권,043-201-3711
O0091,청주시 청원보건소,정주영,043-201-4377
O0092,김천시치매안심센터,황훈정,054-421-2960
O0093,해남군치매안심센터,임명란,061-531-3704
O0094,영주시치매안심센터,,054-639-5733
O0095,보은군치매안심센터,홍종란,043-540-5642
O0096,화천군 보건의료원,이재성,033-440-2809
O0097,동해시치매안심센터,심재희,033-530-2426
O0098,인천광역시 의료원,장석일,032-575-0019
O0099,괴산군치매안심센터,김미경,043-830-2392
O0100,구례군보건의료원,김윤길,061-780-2933
O0101,의정부시 보건소,장연국,031-870-6166
O0102,전라남도 해남군,소은영,061-531-3703
O0103,동두천시 보건소,전명옥,031-860-3395
O0104,평창군보건의료원,평창군수,033-330-4900
O0105,경상남도 함안군,박수귀,055-580-3240
O0106,연천군보건의료원,윤승원,031-839-4165
O0107,경상남도 통영시,천영기,055-650-6100
O0108,울릉군보건의료원,김영헌,054-790-6827
O0109,전라남도 장성군,박보서,061-390-7161
O0110,청양군보건의료원,김상경,041-940-4500
O0111,전라남도 진도군,조기주,061-540-6964
O0112,청송군보건의료원,윤홍배,054-870-7341
O0113,산청군보건의료원,김솔,055-970-7647
O0114,태안군보건의료원,조수현,041-671-1632
O0115,전라남도 함평군,심화섭,061-320-2390
O0116,충청남도 보령시,전경희,041-930-6871
O0117,충청남도 서산시,,041-661-6571
O0118,충청남도 아산시,최원경,041-537-3474
O0119,전라남도 곡성군,임인동,061-360-8980
O0120,무주군보건의료원,홍찬표,063-320-8601
O0121,전라남도 완도군,한광일,061-550-5810
O0122,전라남도 장흥군,박옥란,061-860-6498
O0123,전라남도 신안군,박용재,061-243-8081
O0124,전라남도 영암군,최문형,061-470-6030
O0125,전라남도 보성군,김학성,061-850-8695
O0126,전라남도 순천시,채연석,061-749-8888
O0127,전라남도 구례군,김윤길,061-780-2026
O0128,충청북도 진천군,허선미,043-539-7782
O0129,전라남도 고흥군,박준희,061-830-6969
O0130,전라남도 강진군,서현미,061-430-5294
O0131,전라남도 담양군,김동진,061-380-2971
O0132,건국대학교병원,문연실,02-450-1381
O0133,충남대학교병원,송민호,042-280-8968
O0134,부안군 보건소,박찬병,063-580-3066
O0135,정읍시 보건소,손희경,063-539-6942
O0136,여수시 보건소,,061-659-5440
O0137,서울대학교병원,박지은,02-3675-9001
O0138,국립중앙의료원,,02-2238-3400
O0139,봉화군 보건소,배재정,054-679-6791
O0140,안성시 보건소,신형진,031-678-3002
O0141,대구북구보건소,이영숙,053-665-3135
O0142,동아대학교병원,안희배,051-240-2560
O0143,해운대구보건소,안여현,051-749-0770
O0144,대구동구보건소,정재헌,053-662-3175
O0145,충북대학교병원,김아련,043-269-6891
O0146,전남대학교병원,신일선,062-226-2181
O0147,이천시 보건소,한미연,031-6190-7227
O0148,인제군 보건소,허준용,033-460-2523
O0149,강릉시 보건소,,033-660-3048
O0150,양양군 보건소,신승주,033-670-2496
O0151,거창군 보건소,이정헌,055-940-7910
O0152,남해군 보건소,곽기두,055-860-8791
O0153,전주시보건소,김신선,063-281-6291
O0154,기장군보건소,최병무,051-709-2983
O0155,강동성심병원,김여진,02-489-1130
O0156,유성구보건소,신현정,042-611-5112
O0157,양주시보건소,김정은,031-8082-4388
O0158,군산시보건소,,063-454-5870
O0159,장성군보건소,박보서,061-390-7164
O0160,고창군보건소,유병수,063-560-8725
O0161,무안군보건소,김성철,061-450-5075
O0162,영광군보건소,지경현,061-350-4806
O0163,계룡시보건소,임방원,042-840-3681
O0164,충주시보건소,정상구,043-850-1780
O0165,송파구보건소,이영숙,02-2147-5050
O0166,서울북부병원,이용주,02-435-7540
O0167,서천군보건소,나성구,041-950-6741
O0168,예산군보건소,최승묵,041-339-6140
O0169,정선군보건소,신애정,033-560-2565
O0170,철원군보건소,보건소장,033-450-5105
O0171,화순군보건소,,061-379-5317
O0172,경산시보건소,안병숙,053-810-6435
O0173,경주시보건소,경주시보건소장(진병철),054-760-2950
O0174,고령군보건소,한혜연,054-950-7961
O0175,상주시보건소,이건희,054-537-6514
O0176,성주군보건소,,054-930-8187
O0177,영양군보건소,장여진,054-680-5126
O0178,영천시보건소,박선희,054-339-7845
O0179,남원시보건소,한용재,063-620-7725
O0180,광양시보건소,양준석,061-797-4059
O0181,진안군보건소,,063-430-8582
O0182,공주시보건소,공주시보건소장(김기남),041-840-3315
O0183,영동군보건소,박한석,043-740-5941
O0184,음성군보건소,구미숙,043-871-2971
O0185,제천시보건소,안순덕,043-641-3058
O0186,횡성군보건소,김영대,033-340-5653
O0187,광주시보건소,조정호,031-760-8719
O0188,태백시보건소,안상헌,033-550-3042
O0189,홍천군보건소,원은숙,033-430-4055
O0190,당진시보건소,,041-360-6269
O0191,사천시보건소,문지연,055-831-5860
O0192,거제시보건소,김영실,055-639-6226
O0193,청도군보건소,남중구,054-370-6470
O0194,칠곡군보건소,권정희,054-973-4000
O0195,파주시보건소,이한상,031-940-3740
O0196,금산군보건소,채기주,041-750-4460
O0197,밀양시보건소,천재경,055-359-7086
O0198,논산시보건소,김배현,041-746-6921
O0199,오산시보건소,김태숙,031-8036-6633
O0200,의왕시보건소,임인동,031-345-3851
O0201,진주시보건소,황혜경,055-749-5778
O0202,창녕군보건소,권석규,055-530-7503
O0203,함양군보건소,,055-960-5355
O0204,부천시보건소,송정원,032-625-4421
O0205,계양구보건소,이미숙,032-450-1845
O0206,예천군보건소,안남기,054-650-8100
O0207,의령군보건소,조미경,055-570-4072
O0208,시흥시보건소,이형정,031-310-6825
O0209,양평군보건소,배명석,031-771-5773
O0210,남양주보건소,정태식,031-590-8700
O0211,군포시보건소,,031-389-4988
O0212,가평군보건소,장우진,031-580-2849
O0213,과천시보건소,류정현,02-2150-3596
O0214,수성구보건소,여수환,053-666-3181
O0215,군위군보건소,윤영국,054-380-7491
O0216,달성군보건소,권선영,053-668-3841
O0217,팔달구보건소,최향란,031-5159-0630
O0218,남동구보건소,,032-453-5910
O0219,영도구보건소,박성률,051-419-4935
O0220,연제구보건소,신승건,051-665-5481
O0221,만안구보건소,한영자,031-8045-3038
O0222,진도군보건소,이경희,061-540-6961
O0223,삼성서울병원,서상원,02-568-4203
O0224,동국대병원,곽경필,054-777-6400
O0225,경희의료원,강원섭,02-957-3062
O0226,예수병원,한명일,063-247-6082
O0227,전라남도,김영록,061-286-6042
O0228,나주시,강동렬,061-339-4772
