센터ID,센터명,시도,시군구,유형,주소,우편번호,위도,경도,전화번호,팩스번호,홈페이지,설립일,의사인원수,간호사인원수,사회복지사인원수,기타인원_파싱_JSON,운영기관명,운영기관대표자명,운영기관전화번호,프로그램_개수,프로그램_리스트_텍스트,데이터출처
C0001,서울특별시강남구치매안심센터,서울특별시,강남구,치매안심센터,"서울 강남구 선릉로108길 27 (삼성동, 강남구치매지원센터) 4층, 5층",6153.0,37.5103126,127.0463796,02-568-4203,02-568-4280,https://gangnam.nid.or.kr,2018-12-18,2.0,6.0,4.0,{},삼성서울병원,서상원,02-568-4203,2,치매선별검사 | 인지건강증진프로그램운영 등,파일1+파일2
C0002,서울특별시강동구치매안심센터,서울특별시,강동구,치매안심센터,"서울 강동구 성내로 45 (성내동, 강동구보건소) 별관 강동구치매안심센터",5397.0,37.52954199,127.1255855,02-489-1130,02-489-1137,https://gangdong.nid.or.kr,2018-10-01,1.0,7.0,6.0,"{""작업치료사"": 6}",강동성심병원,김여진,02-489-1130,5,치매예방및인식개선 | 치매조기검진 | 치매및고위험인지재활프로그램 | 치매치료비지원 | 치매지역자원강화 등,파일1+파일2
C0003,서울특별시강북구치매안심센터,서울특별시,강북구,치매안심센터,"서울 강북구 삼양로 335-1 (수유동, 수유보건지소) 2층 강북구치매안심센터",1098.0,37.63341432,127.0171553,02-991-9830,02-991-1177,https://gangbuk.nid.or.kr,2018-11-05,0.0,2.0,2.0,"{""작업치료사"": 1, ""행정인력"": 1}",고려대학교의료원 안암병원,이찬녕,02-991-9832,10,조기검진 | 쉼터 | 가족지원 | 인식개선 등치매검진 | 치매치료비 | 조호물품 | 배회인식표 | 가족모임 | 인지건강센터 | 기억친구 등,파일1+파일2
C0004,서울특별시강서구치매안심센터,서울특별시,강서구,치매안심센터,서울 강서구 화곡로 371 (등촌동) 3층,7590.0,37.55695579,126.8522421,02-3663-0943,02-3663-0909,https://gangseo.nid.or.kr,2018-07-02,1.0,10.0,3.0,"{""운동치료사"": 1, ""작업치료사"": 9, ""임상심리사"": 1}",이화여자대학교 의과대학부속 서울병원,허담,02-3663-0943,6,무료치매검진 및 진단 | 치매예방교육 | 치매예방인지재활프로그램 | 치매가족지지 프로그램 | 실종예방프로그램 | 조호물품지원 등,파일1+파일2
C0005,서울특별시관악구치매안심센터,서울특별시,관악구,치매안심센터,"서울 관악구 관악로 145 (봉천동, 관악구청) 별관 3, 4층",8832.0,37.47821067,126.9515012,02-879-4910,02-879-7910,https://gwanak.nid.or.kr,2018-07-10,0.0,8.0,3.0,"{""작업치료사"": 4}",서울특별시 관악구보건소,최정화,02-879-4910,5,치매조기검진 및 등록관리 | 치매예방 및 인식개선 | 치매의료비 지원 | 인지건강프로그램 및 치매환자쉼터 운영 | 치매환자 가족지원,파일1+파일2
C0006,서울특별시광진구치매안심센터,서울특별시,광진구,치매안심센터,"서울 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 3층 광진구치매안심센터",4922.0,37.55933773,127.0870912,02-450-1381,02-3425-2102,https://gwangjin.nid.or.kr,2018-07-01,1.0,9.0,4.0,"{""작업치료사"": 4, ""행정인력"": 1}",건국대학교병원,문연실,02-450-1381,7,치매조기검진 | 맞춤형 인지프로그램 운영 | 사례관리 | 조호물품 지원 | 치매치료비지원 | 치매공공후견사업 | 기억키움쉼터 및 가족카페 운영,파일1+파일2
C0007,서울특별시구로구치매안심센터,서울특별시,구로구,치매안심센터,"서울특별시 구로구 디지털로 243, 2층(구로동, 지하이시티 2층) 213호 구로구치매안심센터",8227.0,37.48199214,126.8923489,02-2612-7041~4,02-2612-7045,https://guro.nid.or.kr,2018-07-01,1.0,11.0,5.0,"{""작업치료사"": 5, ""운동치료사"": 1, ""음악치료사"": 1, ""송영인력"": 1, ""기타"": 1}",고려대학교 구로병원,,02-2612-7041,3,무료치매검사 | 정상 고위험 치매 프로그램 및 인지프로그램 운영 | 치매가족프로그램 등,파일1+파일2
C0008,서울특별시금천구치매안심센터,서울특별시,금천구,치매안심센터,"서울 금천구 시흥대로123길 11 (독산동, 독산1동주민센터) 6층, 7 층",8523.0,37.47021905,126.8970437,02-3281-9082,02-857-0330,https://geumcheon.nid.or.kr,2018-01-01,1.0,10.0,4.0,"{""작업치료사"": 4}",고려대학교 구로병원,병원장 정희진,02-3281-9082,5,예방 및 인식개선 사업 | 조기검진 사업 | 등록관리사업 | 치매치료관리비 지원사업 | 중증치매노인공공후견사업,파일1+파일2
C0009,서울특별시노원구치매안심센터,서울특별시,노원구,치매안심센터,"서울 노원구 수락산로 212-20 (상계동, 마들보건지소) 4~5층",1616.0,37.6714151,127.0552421,02-911-7778,02-911-7760,https://nowon.nid.or.kr,2018-01-02,1.0,10.0,8.0,{},인제대학교 상계백병원 위탁,이순형,02-911-7778,5,치매조기검진 | 치매예방 및 등록관리 | 치매치료비 지원 | 쉼터 및 일상생활훈련센터 운영 | 지역자원강화 사업 등,파일1+파일2
C0010,서울특별시도봉구치매안심센터,서울특별시,도봉구,치매안심센터,"서울 도봉구 마들로 650 (방학동, 도봉월드상가) 4층 도봉구치매안심센터",1331.0,37.66802835,127.0470647,02-955-3591,02-955-3596,https://dobong.nid.or.kr,2018-12-13,,,,{},,,,0,,파일1
